Produit,,ingredient_initial,pourcentage,ingredient_reco,similarity,carbon_emission,categorie,saison,carbon_emission_total
salade,17,tomate cerise,,sauce au yaourt,0.717334,0.167,NaN,,0
salade,15,tomate cerise,,mayonnaise,0.721088,0.221,NaN,,0
salade,3,tomate cerise,,mais doux,0.81022,0.353,NaN,,0
salade,16,tomate cerise,,fromage blanc,0.717704,0.368,NaN,,0
salade,9,tomate cerise,,anchois,0.767328,0.445976,"['aides culinaires et ingrédients divers', 'vi...",,0
salade,2,tomate cerise,,salade,0.820747,0.462334,['entrées et plats composés'],,0
salade,13,tomate cerise,,saumon fume,0.740728,0.495,NaN,,0
salade,0,tomate cerise,,tomate cerise,1,0.509,NaN,,0
salade,11,concombre,,salade verte,0.705951,0.02232,['entrées et plats composés'],,0
salade,4,concombre,,menthe,0.75236,0.029435,['boissons'],,0
salade,13,concombre,,feves,0.681121,0.040506,['entrées et plats composés'],,0
salade,19,concombre,,ananas,0.635528,0.082807,"['fruits, légumes, légumineuses et oléagineux'...",,0
salade,3,concombre,,jus de citron,0.802933,0.086127,"['aides culinaires et ingrédients divers', 'en...",,0
salade,7,concombre,,tomate,0.739377,0.096879,"['aides culinaires et ingrédients divers', 'en...",,0
salade,16,concombre,,vinaigre balsamique,0.675484,0.112,NaN,,0
salade,9,concombre,,surimi,0.721147,0.153,NaN,,0
salade,10,concombre,,poivron rouge,0.706486,0.162,NaN,,0
salade,6,concombre,,mayonnaise,0.741476,0.221,NaN,,0
salade,18,concombre,,yaourt,0.654232,0.243277,['aides culinaires et ingrédients divers'],,0
salade,5,concombre,,chou blanc,0.751733,0.297909,['entrées et plats composés'],,0
salade,12,concombre,,salade,0.681415,0.462334,['entrées et plats composés'],,0
salade,2,concombre,,tomate cerise,0.807645,0.509,NaN,,0
salade,8,concombre,,pois chiche,0.731326,0.584,NaN,,0
salade,0,concombre,,concombre,1,0.619928,[entrées et plats composés],,0
salade,18,boeuf,,safran,0.822938,0.012404,['entrées et plats composés'],,0
salade,13,boeuf,,estragon,0.83448,0.022012,['aides culinaires et ingrédients divers'],,0
salade,16,boeuf,,lentilles,0.828152,0.041254,"['entrées et plats composés', 'produits céréal...",,0
salade,5,boeuf,,saucisse de toulouse,0.892136,0.089,NaN,,0
salade,17,boeuf,,eau de vie,0.82724,0.102833,"['aides culinaires et ingrédients divers', 'vi...",,0
salade,0,boeuf,,foie,0.936961,0.210813,NaN,,0
salade,8,boeuf,,glace,0.858293,0.237,NaN,,0
salade,10,boeuf,,riz blanc,0.843771,0.2425,NaN,,0
salade,19,boeuf,,croutons,0.822639,0.256,NaN,,0
salade,11,boeuf,,hareng,0.840976,0.2575,NaN,,0
salade,2,boeuf,,choucroute,0.9078,0.279896,['entrées et plats composés'],,0
salade,3,boeuf,,maquereau,0.905688,0.310333,NaN,,0
salade,4,boeuf,,sang,0.901547,0.335,NaN,,0
salade,12,boeuf,,tripes,0.836113,0.336,NaN,,0
salade,1,boeuf,,boeuf,0.912189,0.351268,NaN,,0
salade,9,boeuf,,graisse de porc,0.85228,0.365823,"['viandes, œufs, poissons']",,0
salade,0,boeuf,,porc,1,0.488543,NaN,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
,,,,,,,,,0
