city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Vernaison,45.6478,4.8114,France,FR,Auvergne-Rhône-Alpes,,5001,5001
Yffiniac,48.4850,-2.6775,France,FR,Bretagne,,5000,5000
Laventie,50.6275,2.7711,France,FR,Hauts-de-France,,5000,5000
Douvres-la-Délivrande,49.2933,-0.3794,France,FR,Normandie,,4999,4999
Orgères,47.9989,-1.6683,France,FR,Bretagne,,4993,4993
Witry-lès-Reims,49.2931,4.1208,France,FR,Grand Est,,4990,4990
Baume-les-Dames,47.3522,6.3600,France,FR,Bourgogne-Franche-Comté,,4977,4977
Blendecques,50.7169,2.2764,France,FR,Hauts-de-France,,4974,4974
Le Lion-d’Angers,47.6278,-0.7131,France,FR,Pays de la Loire,,4974,4974
Sommières,43.7844,4.0900,France,FR,Occitanie,,4972,4972
Pollestres,42.6378,2.8669,France,FR,Occitanie,,4967,4967
Saint-Sever,43.7567,-0.5742,France,FR,Nouvelle-Aquitaine,,4966,4966
Villerest,45.9933,4.0367,France,FR,Auvergne-Rhône-Alpes,,4965,4965
Montchanin,46.7481,4.4689,France,FR,Bourgogne-Franche-Comté,,4963,4963
Villars-les-Dombes,46.0025,5.0297,France,FR,Auvergne-Rhône-Alpes,,4962,4962
Tourrette-Levens,43.7867,7.2758,France,FR,Provence-Alpes-Côte d’Azur,,4960,4960
Schweighouse-sur-Moder,48.8192,7.7281,France,FR,Grand Est,,4957,4957
Gambsheim,48.6922,7.8833,France,FR,Grand Est,,4956,4956
Fleury-sur-Orne,49.1461,-0.3764,France,FR,Normandie,,4954,4954
Beaurepaire,45.3383,5.0544,France,FR,Auvergne-Rhône-Alpes,,4953,4953
Giberville,49.1817,-0.2822,France,FR,Normandie,,4951,4951
Vittel,48.2017,5.9494,France,FR,Grand Est,,4951,4951
Garons,43.7683,4.4283,France,FR,Occitanie,,4950,4950
Bonneval,48.1814,1.3881,France,FR,Centre-Val de Loire,,4950,4950
Habsheim,47.7294,7.4189,France,FR,Grand Est,,4947,4947
Mouilleron-le-Captif,46.7172,-1.4556,France,FR,Pays de la Loire,,4946,4946
Château-Renault,47.5914,0.9094,France,FR,Centre-Val de Loire,,4944,4944
Cléon,49.3150,1.0356,France,FR,Normandie,,4943,4943
Saint-Pol-sur-Ternoise,50.3792,2.3347,France,FR,Hauts-de-France,,4942,4942
Villenoy,48.9411,2.8614,France,FR,Île-de-France,,4941,4941
Aubevoye,49.1739,1.3344,France,FR,Normandie,,4936,4936
Ludon-Médoc,44.9822,-0.6039,France,FR,Nouvelle-Aquitaine,,4934,4934
La Mézière,48.2183,-1.7556,France,FR,Bretagne,,4932,4932
La Mure,44.9031,5.7875,France,FR,Auvergne-Rhône-Alpes,,4930,4930
Desvres,50.6678,1.8344,France,FR,Hauts-de-France,,4930,4930
Vaux-sur-Seine,49.0078,1.9631,France,FR,Île-de-France,,4929,4929
Amplepuis,45.9725,4.3303,France,FR,Auvergne-Rhône-Alpes,,4929,4929
Idron,43.2889,-0.3117,France,FR,Nouvelle-Aquitaine,,4928,4928
Mormant,48.6069,2.8900,France,FR,Île-de-France,,4924,4924
Reyrieux,45.9344,4.8233,France,FR,Auvergne-Rhône-Alpes,,4923,4923
La Voulte-sur-Rhône,44.7994,4.7792,France,FR,Auvergne-Rhône-Alpes,,4918,4918
Saint-Nom-la-Bretêche,48.8597,2.0211,France,FR,Île-de-France,,4915,4915
Pauillac,45.2000,-0.7486,France,FR,Nouvelle-Aquitaine,,4911,4911
Cysoing,50.5683,3.2150,France,FR,Hauts-de-France,,4908,4908
Saint-Xandre,46.2047,-1.1025,France,FR,Nouvelle-Aquitaine,,4905,4905
Beauvoisin,43.7183,4.3236,France,FR,Occitanie,,4905,4905
Le Quesnoy,50.2489,3.6375,France,FR,Hauts-de-France,,4902,4902
La Ferté-Gaucher,48.7825,3.3053,France,FR,Île-de-France,,4902,4902
Argenton-sur-Creuse,46.5889,1.5192,France,FR,Centre-Val de Loire,,4902,4902
Saint-James,48.5228,-1.3247,France,FR,Normandie,,4902,4902
Le Trait,49.4881,0.8053,France,FR,Normandie,,4900,4900
Bornel,49.1983,2.2092,France,FR,Hauts-de-France,,4899,4899
Caumont-sur-Durance,43.8947,4.9464,France,FR,Provence-Alpes-Côte d’Azur,,4899,4899
Lacroix-Saint-Ouen,49.3561,2.7869,France,FR,Hauts-de-France,,4894,4894
Verneuil-sur-Vienne,45.8489,1.1267,France,FR,Nouvelle-Aquitaine,,4885,4885
Petite Forêt,50.3711,3.4744,France,FR,Hauts-de-France,,4882,4882
Châtillon-sur-Chalaronne,46.1197,4.9569,France,FR,Auvergne-Rhône-Alpes,,4881,4881
Rousset,43.4822,5.6222,France,FR,Provence-Alpes-Côte d’Azur,,4881,4881
Cluny,46.4344,4.6592,France,FR,Bourgogne-Franche-Comté,,4880,4880
Barberaz,45.5633,5.9447,France,FR,Auvergne-Rhône-Alpes,,4876,4876
